base_sample_id	sample_group	projection_role
Unknown_15	Unknown	exclude_from_primary_projection
Unknown_16	Unknown	exclude_from_primary_projection
Unknown_17	Unknown	exclude_from_primary_projection
Unknown_18	Unknown	exclude_from_primary_projection
Unknown_19	Unknown	exclude_from_primary_projection
Unknown_20	Unknown	exclude_from_primary_projection
Unknown_21	Unknown	exclude_from_primary_projection
Unknown_22	Unknown	exclude_from_primary_projection
Unknown_23	Unknown	exclude_from_primary_projection
Unknown_24	Unknown	exclude_from_primary_projection
Unknown_25	Unknown	exclude_from_primary_projection
Unknown_26	Unknown	exclude_from_primary_projection
Unknown_27	Unknown	exclude_from_primary_projection
Unknown_28	Unknown	exclude_from_primary_projection
Unknown_29	Unknown	exclude_from_primary_projection
Unknown_30	Unknown	exclude_from_primary_projection
Unknown_31	Unknown	exclude_from_primary_projection
Unknown_32	Unknown	exclude_from_primary_projection
Unknown_33	Unknown	exclude_from_primary_projection
Unknown_34	Unknown	exclude_from_primary_projection
Unknown_35	Unknown	exclude_from_primary_projection
Unknown_36	Unknown	exclude_from_primary_projection
Unknown_37	Unknown	exclude_from_primary_projection
Unknown_38	Unknown	exclude_from_primary_projection
Unknown_39	Unknown	exclude_from_primary_projection
Unknown_40	Unknown	exclude_from_primary_projection
Unknown_41	Unknown	exclude_from_primary_projection
Unknown_42	Unknown	exclude_from_primary_projection
Unknown_43	Unknown	exclude_from_primary_projection
Unknown_44	Unknown	exclude_from_primary_projection
Unknown_45	Unknown	exclude_from_primary_projection
Unknown_46	Unknown	exclude_from_primary_projection
Unknown_47	Unknown	exclude_from_primary_projection
Unknown_48	Unknown	exclude_from_primary_projection
Unknown_49	Unknown	exclude_from_primary_projection
Unknown_50	Unknown	exclude_from_primary_projection
Unknown_51	Unknown	exclude_from_primary_projection
Unknown_52	Unknown	exclude_from_primary_projection
Unknown_53	Unknown	exclude_from_primary_projection
Unknown_54	Unknown	exclude_from_primary_projection
Unknown_55	Unknown	exclude_from_primary_projection
Unknown_56	Unknown	exclude_from_primary_projection
Unknown_57	Unknown	exclude_from_primary_projection
